,Indicator / Month, 04- 25, 05- 25, 06- 25, 07- 25, 08- 25, 09- 25, 10- 25, 11- 25, 12- 25, 01- 26, 02- 26, 03- 26, 04- 26, 05- 26, 06- 26, 07- 26, 08- 26, 09- 26, 10- 26, 11- 26, 12- 26, 01- 27, 02- 27, 03- 27, 04- 27, 05- 27, 06- 27, 07- 27, 08- 27, 09- 27, 10- 27, 11- 27, 12- 27, 01- 28, 02- 28, 03- 28, 04- 28, 05- 28, 06- 28, 07- 28, 08- 28, 09- 28, 10- 28, 11- 28, 12- 28, 01- 29, 02- 29, 03- 29, 04- 29, 05- 29, 06- 29, 07- 29, 08- 29, 09- 29, 10- 29, 11- 29, 12- 29, 01- 30, 02- 30, 03- 30, 04- 30
,Support, 0,1 540,3 080,4 620,6 545,8 470,10 395,12 320,14 245,16 170,18 095,20 020,21 560,23 100,24 640,26 180,28 105,29 645,31 185,32 725,34 650,36 575,38 115,40 040,41 965,43 890,45 815,47 740,49 665,51 975,53 900,55 825,58 135,60 060,62 370,64 680,67 375,69 685,72 380,75 075,77 770,80 465,83 545,86 240,89 320,92 400,95 480,98 945,102 410,105 875,109 340,113 190,117 040,121 275,125 125,129 360,133 595,138 215,142 835,147 455,152 460
,Enterprise, 0, 0, 0, 0, 0, 0,3 200,3 200,6 400,11 200,11 200,19 200,19 200,22 400,27 200,27 200,32 000,32 000,35 200,35 200,35 200,40 000,40 000,43 200,43 200,46 400,51 200,54 400,59 200,62 400,70 400,70 400,75 200,83 200,80 000,80 000,88 000,80 000,83 200,84 800,83 200,88 000,80 000,88 000,88 000,80 000,88 000,88 000,83 200,88 000,88 000,88 000,84 800,88 000,88 000,83 200,88 000,88 000,88 000,88 000,88 000
,Payments on COGS, 750,1 885,2 645,3 765,4 981,6 198,11 389,12 980,17 796,19 193,20 589,25 405,26 525,30 870,31 615,32 180,32 841,33 406,37 946,38 886,39 923,40 959,42 079,46 895,47 931,52 193,52 854,57 490,58 706,63 619,68 435,69 471,70 604,75 615,73 328,74 640,79 649,77 181,82 190,79 999,85 008,86 416,84 501,89 885,91 765,89 670,94 955,96 931,98 908,100 689,102 470,104 543,103 195,108 769,111 201,113 550,116 079,118 524,120 969,123 969,126 510
,Core, 750,1 500,1 875,2 250,2 625,3 000,3 750,4 500,4 875,5 250,5 625,6 000,6 375,6 375,6 375,6 375,6 375,6 375,6 750,7 125,7 500,7 875,8 250,8 625,9 000,9 000,9 000,9 375,9 750,10 125,10 500,10 875,11 250,12 000,12 375,12 750,13 125,13 500,13 875,14 250,14 625,15 000,15 375,16 125,16 875,17 250,17 625,18 375,19 125,19 500,19 875,20 625,21 375,21 750,22 500,23 250,24 000,24 750,25 500,26 625,27 375
,Analytics, 0, 0, 0, 360, 720,1 080,1 440,1 800,2 160,2 700,3 240,3 600,3 960,4 320,4 680,4 860,5 040,5 220,5 400,5 580,5 760,5 940,6 300,6 660,6 840,7 020,7 200,7 380,7 740,8 100,8 460,8 640,8 820,9 000,9 360,9 720,10 080,10 260,10 620,10 980,11 340,11 700,12 240,12 600,12 960,13 320,13 860,14 220,14 580,15 120,15 660,16 020,16 560,17 100,17 820,18 360,19 080,19 620,20 160,20 880,21 420
,Support, 0, 385, 770,1 155,1 636,2 118,2 599,3 080,3 561,4 043,4 524,5 005,5 390,5 775,6 160,6 545,7 026,7 411,7 796,8 181,8 663,9 144,9 529,10 010,10 491,10 973,11 454,11 935,12 416,12 994,13 475,13 956,14 534,15 015,15 593,16 170,16 844,17 421,18 095,18 769,19 443,20 116,20 886,21 560,22 330,23 100,23 870,24 736,25 603,26 469,27 335,28 298,29 260,30 319,31 281,32 340,33 399,34 554,35 709,36 864,38 115
,Enterprise, 0, 0, 0, 0, 0, 0,3 600,3 600,7 200,7 200,7 200,10 800,10 800,14 400,14 400,14 400,14 400,14 400,18 000,18 000,18 000,18 000,18 000,21 600,21 600,25 200,25 200,28 800,28 800,32 400,36 000,36 000,36 000,39 600,36 000,36 000,39 600,36 000,39 600,36 000,39 600,39 600,36 000,39 600,39 600,36 000,39 600,39 600,39 600,39 600,39 600,39 600,36 000,39 600,39 600,39 600,39 600,39 600,39 600,39 600,39 600
,Payments on OPEX,30 000,30 000,30 000,30 000,30 000,30 000,30 000,30 000,30 000,30 000,30 000,30 000,32 600,32 600,32 600,32 600,32 600,32 600,32 600,32 600,32 600,32 600,32 600,32 600,35 460,35 460,35 460,35 460,35 460,35 460,35 460,35 460,35 460,35 460,35 460,35 460,38 606,38 606,38 606,38 606,38 606,38 606,38 606,38 606,38 606,38 606,38 606,38 606,42 067,42 067,42 067,42 067,42 067,42 067,42 067,42 067,42 067,42 067,42 067,42 067,45 873
,Staff Salaries,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,24 200,24 200,24 200,24 200,24 200,24 200,24 200,24 200,24 200,24 200,24 200,24 200,26 620,26 620,26 620,26 620,26 620,26 620,26 620,26 620,26 620,26 620,26 620,26 620,29 282,29 282,29 282,29 282,29 282,29 282,29 282,29 282,29 282,29 282,29 282,29 282,32 210
,Social Contributions,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 600,6 600,6 600,6 600,6 600,6 600,6 600,6 600,6 600,6 600,6 600,6 600,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 260,7 986,7 986,7 986,7 986,7 986,7 986,7 986,7 986,7 986,7 986,7 986,7 986,8 785,8 785,8 785,8 785,8 785,8 785,8 785,8 785,8 785,8 785,8 785,8 785,9 663
,Office Rent,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing Expenses,4000,10000,10000,14000,18000,18000,22000,22000,24000,26000,26000,28000,26000,28000,28000,28000,28000,30000,32000,32000,32000,34000,36000,38000,38000,40000,40000,42000,42000,46000,48000,48000,48000,52000,52000,54000,58000,58000,60000,62000,66000,68000,68000,72000,74000,76000,80000,82000,84000,88000,90000,94000,96000,100000,104000,106000,110000,114000,118000,122000,126000
,Profit Tax, 510,1 251,1 737,2 463,3 247,4 031,5 549,6 588,7 852,9 476,10 379,12 363,13 089,14 040,15 231,15 582,16 711,17 062,18 148,18 754,19 418,20 801,21 527,22 791,23 455,40 573,42 454,44 360,46 866,49 069,52 375,53 481,55 884,59 415,60 018,61 420,64 919,64 121,66 420,68 319,69 418,72 116,71 911,75 835,77 855,77 450,81 245,83 361,84 278,87 369,89 260,91 473,93 085,95 969,98 581,99 890,103 799,106 404,109 009,112 239,114 940
,Tax Rate,"15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","15,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%","25,00%"
,Total Payments,35 260,43 136,44 382,50 228,56 228,58 228,68 938,71 568,79 648,84 668,86 968,95 768,98 214,105 510,107 446,108 362,110 152,113 068,120 694,122 240,123 940,128 360,132 206,140 286,144 846,168 225,170 768,179 310,183 033,194 148,204 270,206 413,209 948,222 490,220 805,225 520,241 174,237 909,247 216,248 924,259 031,265 139,263 019,276 326,282 226,281 726,294 806,300 899,309 252,318 124,323 797,332 082,334 347,346 804,355 849,361 507,371 944,380 994,390 044,400 274,413 323
,Net Operational Cash Flow,-31 860,-34 796,-32 802,-33 808,-34 583,-31 358,-31 943,-27 648,-27 303,-21 498,-17 773,-13 348,-10 954,-11 910,-5 906,-4 482,1 253, 677, 291,2 785,5 510,10 315,11 309,11 654,11 519,-5 935,- 953,-1 870,4 433,2 128,5 230,7 513,13 588,15 170,19 265,20 160,18 502,18 577,18 464,24 352,18 639,23 327,24 627,27 014,29 194,28 074,30 174,32 547,27 858,31 351,33 243,33 808,37 993,37 071,38 476,38 053,43 251,44 621,45 991,48 681,46 437
,2. Investment Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Development (R&D),55 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional R&D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Investment Cash Flow,-55 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,3. Financial Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attracted Investments,200 000, 0, 0, 0, 0, 0,100 000, 0, 0, 0, 0,90 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,Round 1,200 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,,,,,,,100 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,,,,,,,,,,,,90 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Financial Cash Flow,200 000, 0, 0, 0, 0, 0,100 000, 0, 0, 0, 0,90 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,4. Net Cash Flow for the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash Flow,113 140,-34 796,-32 802,-33 808,-34 583,-31 358,68 057,-27 648,-27 303,-21 498,-17 773,76 652,-10 954,-11 910,-5 906,-4 482,1 253, 677, 291,2 785,5 510,10 315,11 309,11 654,11 519,-5 935,- 953,-1 870,4 433,2 128,5 230,7 513,13 588,15 170,19 265,20 160,18 502,18 577,18 464,24 352,18 639,23 327,24 627,27 014,29 194,28 074,30 174,32 547,27 858,31 351,33 243,33 808,37 993,37 071,38 476,38 053,43 251,44 621,45 991,48 681,46 437
,5. Cumulative Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial Balance,80 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-of-Month Cash Balance,193 140,158 344,125 542,91 734,57 151,25 793,93 850,66 202,38 899,17 401,- 372,76 280,65 326,53 416,47 510,43 028,44 281,44 958,45 249,48 034,53 544,63 859,75 168,86 822,98 341,92 406,91 454,89 584,94 016,96 144,101 374,108 886,122 474,137 644,156 909,177 069,195 570,214 147,232 611,256 962,275 601,298 928,323 554,350 568,379 762,407 836,438 010,470 557,498 415,529 766,563 009,596 818,634 811,671 882,710 358,748 411,791 662,836 283,882 274,930 955,977 392
,"6. NPV, IRR, MIRR Calculation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monthly Discount Rate Calculation,"0,49%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash Flow (NCF), 112 592, 78 132, 45 805, 12 647,- 21 107,- 51 564, 14 218,- 12 376,- 38 512,- 58 991,- 75 839,- 3 526,- 13 810,- 24 937,- 30 428,- 34 575,- 33 422,- 32 801,- 32 536,- 30 009,- 25 033,- 15 763,- 5 649, 4 723, 14 925, 9 694, 8 859, 7 226, 11 077, 12 916, 17 415, 23 846, 35 422, 48 283, 64 537, 81 464, 96 923, 112 370, 127 648, 147 701, 162 975, 181 998, 201 984, 223 801, 247 265, 269 719, 293 736, 319 516, 341 476, 366 068, 392 020, 418 284, 447 656, 476 177, 505 635, 534 628, 567 422, 601 091, 635 625, 672 002, 706 534
,Internal Rate of Return (IRR),#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modified Internal Rate of Return (MIRR),3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Breakeven Point and Payback Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payback Period (Breakeven Point),23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
